,Rep.1,Rep.2,Rep.3,Rep.4
ENSMUSG00000020641,2.3423052,2.999391019408095,2.822388998371322,2.8198027881242247
ENSMUSG00000020642,6.402027,6.347439981920875,6.695420110481804,6.826157224199539
ENSMUSG00000020644,7.9777517,8.044945013805435,8.215587220996992,8.349792997503378
ENSMUSG00000020646,5.981608,6.15804943719698,6.328157575828829,6.490474454114067
ENSMUSG00000020647,6.9082556,6.975755437840832,7.066627356831705,7.297119702850558
ENSMUSG00000020648,4.489439,4.435535871095203,4.418799794299017,4.425684691655063
ENSMUSG00000020649,5.912811,6.054440062644187,6.244128619629145,6.494176841275538
ENSMUSG00000020650,5.1135645,5.346662092866834,5.578188479892806,5.673050039844815
ENSMUSG00000020651,2.641045,2.1751232819885766,2.790581569742457,2.7066618960353237
ENSMUSG00000020652,3.7594142,4.208385819727672,4.260028427870952,4.310853297739736
ENSMUSG00000020653,5.175493,5.1494039047390965,5.438475229283837,5.512962567653129
ENSMUSG00000020654,5.7760916,5.864959541531019,6.020286582179702,5.984292742404955
ENSMUSG00000020656,3.0674214,3.340990084081209,3.6056667763835613,3.896798289857742
ENSMUSG00000020657,5.88766,5.995599586500405,5.982952546748359,6.056573012302925
ENSMUSG00000020658,6.7988877,7.01721394093121,7.254196234531135,7.38574678695203
ENSMUSG00000020659,5.644664,5.865597624658232,6.043565323316682,6.162323294456535
ENSMUSG00000020660,5.1839685,4.999110808244302,4.924902507209828,4.844744837870694
ENSMUSG00000020661,7.1317234,7.25710523056851,7.405278881416575,7.504966589649767
ENSMUSG00000020664,6.9585266,6.939856900394114,7.233020013179503,7.255155571093839
ENSMUSG00000020668,7.284987,7.344827555207664,7.589055028207174,7.689997408609072
ENSMUSG00000020669,5.7750463,5.792095985408038,5.890294036002925,6.1162588081260125
ENSMUSG00000020671,7.9828258,8.039021371268408,8.266583906483403,8.30818913384901
ENSMUSG00000020672,3.9398718,3.7188294825734154,3.8966940948302757,4.287491596493063
ENSMUSG00000020674,6.3376346,6.663271983638767,6.759718449954247,6.873232638558857
